x1,y1,z1,V1,V2
-0.039925457,-0.578280114,-0.080310593,6,1
0.05489299,-0.457887168,-0.169553701,6,1
0.278242897,-0.898024921,-0.13028464,6,1
0.038078496,-0.429848394,-0.132515478,6,1
0.019318623,-0.573460157,-0.14577903,6,1
0.118613056,-0.53704814,-0.212137963,6,1
0.033036562,-0.494639976,-0.137855079,6,1
-0.00995581,-0.65511897,-0.198971956,6,1
0.174279097,-0.55778346,-0.246980245,6,1
-0.002446871,-0.641223508,-0.105913473,6,1
0.002895596,-0.589499305,-0.237412366,6,1
0.110534964,-0.763286733,-0.177636696,6,1
-0.076350967,-0.766317022,-0.139277998,6,1
0.157641569,-0.650248771,-0.138528932,6,1
0.046929088,-0.793270568,-0.140168312,6,1
0.066695218,-0.752608606,-0.166952455,6,1
0.075047063,-0.607866594,-0.268694722,6,1
0.03368399,-0.605608224,-0.188741413,6,1
0.186153836,-0.612416943,-0.143270714,6,1
-0.13272477,-0.554561496,-0.236678916,6,1
0.064470114,-0.609844757,-0.24815177,6,1
0.043981655,-0.497776828,-0.131899919,6,1
0.238206358,-0.902564259,-0.19193223,6,1
0.248764032,-0.84059135,-0.128567908,6,1
0.003535487,-0.452453527,-0.169929624,6,1
-0.018504571,-0.544848255,-0.22606524,6,1
-0.011350366,-0.544400969,-0.040731501,6,1
0.169003536,-0.786524803,-0.16519223,6,1
0.112038826,-0.801473967,-0.111538584,6,1
-0.010522441,-0.469135041,-0.100868497,6,1
0.0854229,-0.606632198,-0.236398124,6,1
-0.094610928,-0.450083177,-0.23326088,6,1
0.236092686,-0.666504273,-0.208732614,6,1
0.256720853,-0.757199082,-0.078948961,6,1
-0.050716643,-0.746906001,-0.180423157,6,1
0.206345368,-0.90523505,-0.127201564,6,1
0.057057871,-0.652086914,-0.102078889,6,1
0.199873765,-0.789960338,-0.195895641,6,1
-0.014183823,-0.844849029,-0.129699875,6,1
0.289993989,-0.6272366,-0.188931489,6,1
0.099327101,-0.60842108,-0.113976511,6,1
0.104322337,-0.544864714,-0.177333222,6,1
0.172042538,-0.812161222,-0.149597827,6,1
0.281246468,-0.705091882,-0.076118115,2,1
0.321394616,-0.859797571,-0.123166291,6,1
-0.111208222,-0.634688742,-0.199983035,6,1
0.351490881,-0.866251942,-0.123899342,6,1
0.154681233,-0.678619391,-0.199909271,6,1
0.147167184,-0.583285256,-0.231677969,6,1
0.051298051,-0.689315782,-0.088723876,6,1
-0.069242335,-0.410777911,-0.132511581,6,1
